player_id,player_name,position,receptions,targets,receiving_yards
00-0034860,D.Pettis,WR,12,28,120.0
00-0039386,B.Means,WR,9,15,118.0
00-0038573,D.Davis,WR,14,18,116.0
00-0037091,B.Melton,WR,9,20,107.0
00-0039810,J.Burton,WR,4,14,107.0
00-0038752,J.Bobo,WR,13,17,107.0
00-0036646,S.Fehoko,WR,6,16,106.0
00-0039410,R.Flournoy,WR,10,14,102.0
00-0031941,J.Crowder,WR,12,18,101.0
00-0036387,J.Reagor,WR,7,12,100.0
00-0039623,M.Tipton,WR,14,26,99.0
00-0038465,M.Heath,WR,10,17,97.0
00-0039650,B.Oliver,WR,6,9,95.0
00-0034487,T.Sherfield,WR,10,12,91.0
00-0035140,M.Hardman,WR,12,14,90.0
00-0039907,J.Polk,WR,12,33,87.0
00-0033891,Z.Jones,WR,8,11,84.0
00-0039365,J.Cowing,WR,4,6,80.0
00-0036331,D.Duvernay,WR,11,16,79.0
00-0032128,C.Conley,WR,6,12,76.0
00-0031763,D.Carter,WR,9,14,72.0
00-0034646,B.Powell,WR,7,10,71.0
00-0038679,T.Shavers,WR,1,1,69.0
00-0035298,S.Miller,WR,5,9,69.0
00-0036862,B.Skowronek,WR,5,5,69.0
00-0035021,A.Dulin,WR,2,8,67.0
00-0034054,R.Cracraft,WR,7,9,66.0
00-0037300,M.Woods,WR,7,17,65.0
00-0038938,J.Hyatt,WR,8,19,62.0
00-0036345,K.Osborn,WR,7,18,57.0
00-0031235,O.Beckham,WR,9,19,55.0
00-0037524,T.Martin,WR,1,2,49.0
00-0038519,N.Remigio,WR,2,6,48.0
00-0038104,T.Thornton,WR,4,8,47.0
00-0036620,D.Eskridge,WR,3,3,44.0
00-0035891,C.White,WR,2,3,44.0
00-0034353,A.Miller,WR,5,5,44.0
00-0036955,T.Marshall,WR,3,6,41.0
00-0036497,T.Jones,WR,3,5,41.0
00-0039747,A.Smith,WR,7,9,41.0
00-0034777,D.Chark,WR,5,14,41.0
00-0036841,A.Trammell,WR,2,3,40.0
00-0038496,X.Gipson,WR,6,10,39.0
00-0039236,J.Wilson,WR,5,16,38.0
00-0035976,D.Chisena,WR,3,4,37.0
00-0036268,L.Shenault,WR,5,5,36.0
00-0037132,B.Covey,WR,7,8,34.0
00-0037742,T.Burks,WR,4,8,34.0
00-0035602,A.Bachman,WR,3,3,31.0
00-0031428,A.Robinson,WR,3,7,30.0
00-0035639,P.Campbell,WR,6,8,30.0
00-0037257,D.Bell,WR,3,3,27.0
00-0039816,A.Gould,WR,1,1,23.0
00-0039379,J.Thrash,WR,3,7,22.0
00-0038647,R.Bell,WR,2,6,22.0
00-0039792,D.Walker,WR,1,3,21.0
00-0036133,J.Proche,WR,3,3,21.0
00-0037487,D.Thompkins,WR,4,4,20.0
00-0036183,K.Wilkerson,WR,2,3,18.0
00-0036463,C.Blair,WR,1,2,17.0
00-0036176,M.Kinsey,WR,2,2,17.0
00-0039920,M.Corley,WR,3,6,16.0
00-0037348,T.Conner,WR,3,4,16.0
00-0035341,T.Irwin,WR,3,10,15.0
00-0039394,C.Washington,WR,1,2,14.0
00-0036165,I.Hodgins,WR,2,2,12.0
00-0039853,J.Baker,WR,1,4,12.0
00-0033292,T.Taylor,WR,1,1,11.0
00-0038507,G.DuBose,WR,2,4,11.0
00-0037422,K.Pryor,WR,1,1,9.0
00-0037382,B.Johnson,WR,1,1,9.0
00-0039392,J.Jackson,WR,1,3,8.0
00-0039543,R.Keyton,WR,1,3,7.0
00-0036254,C.Johnson,WR,1,2,6.0
00-0039451,I.Williams,WR,2,3,6.0
00-0036877,J.Darden,WR,1,1,6.0
00-0033460,J.Ross,WR,1,2,6.0
00-0038359,X.Smith,WR,2,2,6.0
00-0038941,T.Scott,WR,1,1,5.0
00-0038576,C.Jones,WR,1,1,5.0
00-0032688,R.Chosen,WR,1,4,5.0
00-0034928,S.Sims,WR,1,1,4.0
00-0038090,S.Moore,WR,0,3,0.0
00-0038728,J.Wayne,WR,0,2,0.0
00-0035544,T.Kennedy,WR,0,1,0.0
00-0034419,B.Berrios,WR,0,4,0.0
00-0036635,I.Smith-Marsette,WR,0,0,0.0
00-0038477,B.Ford-Wheaton,WR,0,0,0.0
00-0036913,K.Toney,WR,0,1,0.0
00-0037093,D.Young,WR,0,1,0.0
00-0037156,I.Charles,WR,0,1,0.0
00-0037216,J.Ross,WR,0,1,0.0
00-0039521,X.Weaver,WR,0,2,0.0
00-0039589,K.Johnson,WR,0,1,0.0
00-0039614,J.Jackson,WR,0,0,0.0
00-0038092,E.Ezukanma,WR,0,2,0.0
00-0038840,B.Tremayne,WR,1,1,-2.0
